Station,FY99,FY00,FY01,FY02,FY03,FY04,FY05,FY06,FY07,FY08,FY09,FY10,FY11
Richmond,2905,3441,3977,4106,3636,3264,3289,3251,3257,3468,3468,3284,3426
El Cerrito Del Norte,7537,8362,8962,7746,6863,7279,7398,7707,7831,8213,7971,7352,7511
El Cerrito Plaza,3886,4095,3932,3733,3677,3696,3704,3852,4087,4268,4290,4120,4242
North Berkeley,3269,3536,3876,3516,3254,3436,3512,3674,3819,3963,4019,3817,3967
Berkeley,9729,10197,10769,10875,10555,10529,10393,10703,11175,11814,12019,11317,11749
Ashby,3648,4085,4325,4002,3719,3797,3933,4141,4286,4522,4355,3943,4129
MacArthur,5425,6035,6527,5905,5688,6044,6230,6622,6968,7559,7781,7596,8015
19th Street Oakland,7019,7594,8352,8092,7663,7623,7899,8416,8454,8891,9305,9161,9675
12th Street / Oakland City Center,10535,11966,12523,12075,12016,11899,11783,12038,12290,12705,12617,11856,12181
Lake Merritt,3919,4239,4656,4573,4644,4803,4756,5012,5306,5704,5848,5490,5618
Fruitvale,6712,7116,8228,7195,6293,6232,6687,7048,7250,7479,7317,6893,7180
Coliseum / Oakland Airport,5392,6155,6862,6671,6588,7308,6921,7339,7813,7492,6919,6191,6564
San Leandro,4442,4925,5138,4828,4687,4803,4836,4908,5118,5282,5211,4933,5124
Bayfair,4284,4873,5185,4829,4632,4769,4757,4995,5185,5465,5453,5039,5154
Hayward,4295,4593,4982,4606,4353,4261,4320,4452,4553,4670,4641,4275,4451
South Hayward,2626,2873,3100,2869,2762,2729,2757,2860,2894,3076,2974,2727,2966
Union City,3647,3943,4187,3885,3740,3719,3725,3898,4011,3981,3841,3787,3853
Fremont,5423,5929,6300,5834,5694,5868,6099,6495,6818,7164,7175,6932,7332
Concord,5533,5804,6010,5624,5279,5154,5118,5250,5384,5545,5359,4978,5196
Pleasant Hill,6069,6613,6742,6178,6036,6160,5962,6044,6030,6246,6081,5782,5924
Walnut Creek,5567,5803,6310,5746,5551,5520,5616,5771,5887,6124,6114,5920,6104
Lafayette,2862,3061,3207,3012,2957,3018,3034,3132,3226,3392,3413,3316,3417
Orinda,2688,2769,2804,2635,2558,2563,2612,2651,2716,2831,2841,2763,2766
Rockridge,4436,4724,4916,4470,4488,4552,4587,4820,4921,5168,5324,5120,5267
West Oakland,3904,4393,4980,4606,4190,4227,4309,4516,4695,5053,5094,4895,5050
Embarcadero,26059,31983,34594,31174,29254,29438,30012,31584,33453,36094,35486,34310,35603
Montgomery Street,33755,36039,36409,31760,29417,29706,30233,31276,33052,34472,34098,32163,33711
Powell Street,18764,21466,25391,25019,22141,22491,22691,23272,26170,27897,27064,24676,25139
Civic Center,13424,15528,17753,17570,17486,18609,18645,18463,19061,20313,20088,18432,18119
16th Street Mission,7625,8749,9186,8436,7903,8469,8813,9529,10177,10907,11221,10546,10461
24th Street Mission,10233,11365,11433,10926,10500,11004,11119,11579,12178,12500,12479,11576,11590
Glen Park,6675,7339,7431,7014,6799,6559,6514,6941,7418,7633,7564,6931,6823
Balboa Park,10658,11731,11784,12512,11845,11864,11734,12251,13302,13827,14122,12414,11464
Daly City,6919,7537,8101,7722,7650,7319,7275,7879,8257,8590,8096,7513,8159
Colma,6270,6741,7096,6530,6332,3770,3221,3181,3350,3632,3759,3487,3640
Castro Valley,1728,2003,2142,2010,1987,2080,2129,2234,2388,2478,2452,2311,2389
Dublin / Pleasanton,4682,5525,6411,5916,5854,6365,6572,6995,7503,7858,7913,7561,7481
North Concord / Martinez,1462,1698,2019,1827,1674,1625,1606,1648,1832,2115,2093,1843,2015
Pittsburg/BayPoint,3995,4378,4986,4697,4597,4752,4818,4868,4986,5117,5102,4792,5000
South San Francisco,NA,NA,NA,NA,1198,1910,2589,2540,2565,2837,2940,2748,2833
San Bruno,NA,NA,NA,NA,1117,1470,1773,2007,2142,2451,2698,2611,2865
San Francisco Airport,NA,NA,NA,NA,3399,3084,3505,3773,3981,4859,5569,5068,5380
Millbrae,NA,NA,NA,NA,2306,2802,3229,3349,3570,4124,4535,4516,5069
West Dublin,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,652
